id,cas_priprave
20002,120 minut
20003,45 minut
20004,90 minut
20005,120 minut
20006,90 minut
20007,30 minut
20008,45 minut
20009,90 minut
20010,60 minut
20011,150 minut
20012,90 minut
20013,90 minut
20014,45 minut
20015,45 minut
20016,75 minut
20017,45 minut
20018,45 minut
20019,15 minut
20020,150 minut
20021,60 minut
20022,15 minut
20023,60 minut
20024,120 minut
20025,60 minut
20026,60 minut
20027,45 minut
20028,45 minut
20029,90 minut
20030,75 minut
20031,60 minut
20032,150 minut
20033,90 minut
20034,90 minut
20035,60 minut
20036,180 minut
20037,120 minut
20038,75 minut
20039,30 minut
20040,60 minut
20041,30 minut
20043,15 minut
20044,90 minut
20045,60 minut
20046,60 minut
20047,30 minut
20048,15 minut
20049,90 minut
20051,150 minut
20052,45 minut
20053,60 minut
20054,15 minut
20055,90 minut
20056,90 minut
20057,180 minut
20058,15 minut
20059,30 minut
20060,60 minut
20061,90 minut
20062,120 minut
20063,60 minut
20064,15 minut
20065,30 minut
20066,45 minut
20067,90 minut
20068,45 minut
20069,60 minut
20070,15 minut
20071,45 minut
20072,15 minut
20073,4+ ur
20074,60 minut
20075,90 minut
20076,60 minut
20077,60 minut
20078,30 minut
20079,4+ ur
20080,75 minut
20081,90 minut
20082,60 minut
20083,60 minut
20084,120 minut
20085,90 minut
20086,30 minut
20087,120 minut
20088,4+ ur
20089,60 minut
20090,60 minut
20091,45 minut
20092,75 minut
20093,60 minut
20094,15 minut
20095,45 minut
20096,30 minut
20097,30 minut
20098,60 minut
20099,150 minut
20101,60 minut
20102,60 minut
20103,75 minut
20104,60 minut
20105,120 minut
20106,15 minut
20107,120 minut
20108,4+ ur
20109,30 minut
20110,45 minut
20111,30 minut
20112,15 minut
20113,30 minut
20114,60 minut
20115,150 minut
20116,90 minut
20117,30 minut
20118,60 minut
20119,15 minut
20120,60 minut
20121,45 minut
20122,60 minut
20123,60 minut
20124,60 minut
20125,5 minut
20126,45 minut
20127,15 minut
20128,30 minut
20129,5 minut
20130,60 minut
20131,45 minut
20132,60 minut
20133,120 minut
20134,90 minut
20135,15 minut
20136,180 minut
20137,60 minut
20138,15 minut
20139,120 minut
20140,60 minut
20141,75 minut
20142,75 minut
20143,60 minut
20144,75 minut
20145,30 minut
20146,60 minut
20147,60 minut
20148,60 minut
20149,4+ ur
20150,120 minut
20151,30 minut
20152,120 minut
20153,30 minut
20154,90 minut
20155,30 minut
20156,30 minut
20157,30 minut
20159,45 minut
20160,30 minut
20161,150 minut
20162,60 minut
20163,75 minut
20164,90 minut
20165,30 minut
20166,30 minut
20167,75 minut
20168,15 minut
20169,60 minut
20170,60 minut
20171,120 minut
20172,45 minut
20173,45 minut
20174,60 minut
20175,30 minut
20176,60 minut
20177,15 minut
20178,120 minut
20180,120 minut
20181,60 minut
20182,60 minut
20183,150 minut
20184,60 minut
20185,60 minut
20186,180 minut
20187,30 minut
20188,75 minut
20189,180 minut
20190,15 minut
20191,60 minut
20192,15 minut
20193,120 minut
20194,45 minut
20195,60 minut
20196,30 minut
20197,45 minut
20198,45 minut
20199,45 minut
20200,30 minut
20201,90 minut
20202,45 minut
20203,30 minut
20204,30 minut
20205,75 minut
20206,45 minut
20207,60 minut
20208,60 minut
20209,60 minut
20210,30 minut
20211,120 minut
20212,75 minut
20213,150 minut
20214,120 minut
20215,60 minut
20216,240 minut
20217,30 minut
20218,75 minut
20219,15 minut
20220,150 minut
20221,60 minut
20222,4+ ur
20223,60 minut
20224,30 minut
20225,30 minut
20226,120 minut
20227,240 minut
20228,75 minut
20229,150 minut
20230,45 minut
20231,60 minut
20232,90 minut
20233,90 minut
20234,90 minut
20235,120 minut
20236,60 minut
20237,75 minut
20238,60 minut
20239,75 minut
20240,180 minut
20241,60 minut
20242,30 minut
20243,4+ ur
20244,30 minut
20245,5 minut
20246,60 minut
20247,30 minut
20248,150 minut
20249,90 minut
20250,150 minut
20251,45 minut
20252,30 minut
20253,120 minut
20254,90 minut
20255,75 minut
20256,30 minut
20257,15 minut
20258,90 minut
20259,30 minut
20260,180 minut
20261,60 minut
20262,90 minut
20263,60 minut
20264,75 minut
20265,150 minut
20266,150 minut
20267,90 minut
20268,30 minut
20269,60 minut
20270,30 minut
20271,45 minut
20272,90 minut
20275,45 minut
20276,60 minut
20277,90 minut
20278,120 minut
20279,60 minut
20280,90 minut
20281,90 minut
20282,90 minut
20283,120 minut
20284,90 minut
20285,120 minut
20286,45 minut
20287,4+ ur
20288,4+ ur
20289,15 minut
20290,60 minut
20291,60 minut
20292,30 minut
20293,240 minut
20294,30 minut
20295,90 minut
20296,45 minut
20298,15 minut
20299,90 minut
20300,45 minut
20301,30 minut
20302,120 minut
20303,30 minut
20304,60 minut
20305,15 minut
20306,60 minut
20307,30 minut
20308,120 minut
20309,120 minut
20310,60 minut
20311,60 minut
20312,30 minut
20313,60 minut
20314,45 minut
20315,45 minut
20316,30 minut
20317,60 minut
20318,15 minut
20319,90 minut
20320,60 minut
20321,45 minut
20322,30 minut
20323,45 minut
20324,90 minut
20325,60 minut
20326,45 minut
20327,240 minut
20328,15 minut
20329,90 minut
20330,45 minut
20331,5 minut
20332,30 minut
20333,30 minut
20334,90 minut
20337,75 minut
20338,60 minut
20339,60 minut
20340,90 minut
20341,30 minut
20342,30 minut
20343,90 minut
20344,30 minut
20345,45 minut
20346,60 minut
20347,30 minut
20348,30 minut
20349,75 minut
20350,45 minut
20351,45 minut
20352,60 minut
20355,75 minut
20356,90 minut
20357,45 minut
20358,15 minut
20359,90 minut
20360,15 minut
20361,30 minut
20363,60 minut
20364,15 minut
20365,4+ ur
20366,15 minut
20367,180 minut
20368,45 minut
20369,45 minut
20370,30 minut
20371,45 minut
20372,75 minut
20373,30 minut
20374,15 minut
20375,90 minut
20376,60 minut
20378,30 minut
20379,30 minut
20380,15 minut
20381,75 minut
20382,15 minut
20384,120 minut
20385,30 minut
20386,60 minut
20387,60 minut
20388,15 minut
20389,45 minut
20390,90 minut
20391,90 minut
20392,90 minut
20393,15 minut
20394,120 minut
20395,90 minut
20396,15 minut
20397,15 minut
20398,15 minut
20399,30 minut
20400,90 minut