id,zahtevnost
20002,4
20003,2
20004,3
20005,2
20006,1
20007,2
20008,2
20009,2
20010,2
20011,3
20012,2
20013,3
20014,3
20015,1
20016,2
20017,2
20018,1
20019,1
20020,3
20021,1
20022,1
20023,2
20024,3
20025,1
20026,3
20027,2
20028,2
20029,3
20030,3
20031,3
20032,4
20033,2
20034,2
20035,2
20036,3
20037,2
20038,2
20039,1
20040,2
20041,1
20043,1
20044,2
20045,1
20046,3
20047,2
20048,1
20049,2
20051,3
20052,1
20053,2
20054,1
20055,2
20056,2
20057,3
20058,1
20059,2
20060,2
20061,2
20062,3
20063,2
20064,3
20065,1
20066,2
20067,2
20068,1
20069,2
20070,1
20071,2
20072,1
20073,3
20074,2
20075,3
20076,3
20077,2
20078,2
20079,1
20080,1
20081,2
20082,3
20083,2
20084,2
20085,1
20086,1
20087,2
20088,3
20089,1
20090,2
20091,1
20092,2
20093,2
20094,1
20095,2
20096,2
20097,1
20098,2
20099,3
20101,2
20102,2
20103,1
20104,1
20105,1
20106,1
20107,2
20108,2
20109,2
20110,1
20111,2
20112,1
20113,1
20114,2
20115,4
20116,2
20117,1
20118,2
20119,1
20120,1
20121,2
20122,1
20123,2
20124,1
20125,1
20126,1
20127,2
20128,1
20129,1
20130,2
20131,1
20132,3
20133,1
20134,3
20135,1
20136,2
20137,1
20138,1
20139,3
20140,1
20141,3
20142,1
20143,2
20144,2
20145,2
20146,2
20147,2
20148,2
20149,4
20150,3
20151,1
20152,2
20153,1
20154,2
20155,2
20156,2
20157,2
20159,1
20160,1
20161,2
20162,3
20163,1
20164,2
20165,2
20166,3
20167,1
20168,2
20169,3
20170,1
20171,1
20172,2
20173,1
20174,3
20175,1
20176,1
20177,1
20178,2
20180,2
20181,2
20182,1
20183,2
20184,1
20185,2
20186,1
20187,3
20188,3
20189,2
20190,1
20191,1
20192,1
20193,1
20194,1
20195,2
20196,1
20197,1
20198,3
20199,2
20200,3
20201,3
20202,2
20203,1
20204,2
20205,2
20206,1
20207,2
20208,2
20209,2
20210,2
20211,3
20212,2
20213,3
20214,2
20215,3
20216,3
20217,2
20218,1
20219,1
20220,2
20221,1
20222,2
20223,2
20224,1
20225,2
20226,3
20227,2
20228,2
20229,2
20230,1
20231,2
20232,2
20233,3
20234,2
20235,3
20236,1
20237,1
20238,2
20239,2
20240,3
20241,2
20242,2
20243,2
20244,2
20245,1
20246,2
20247,1
20248,2
20249,3
20250,1
20251,2
20252,1
20253,3
20254,3
20255,2
20256,1
20257,1
20258,1
20259,1
20260,2
20261,1
20262,3
20263,2
20264,2
20265,2
20266,3
20267,2
20268,2
20269,2
20270,1
20271,3
20272,1
20275,2
20276,2
20277,2
20278,2
20279,2
20280,3
20281,3
20282,2
20283,4
20284,2
20285,3
20286,1
20287,2
20288,2
20289,1
20290,1
20291,1
20292,1
20293,4
20294,1
20295,2
20296,2
20298,1
20299,2
20300,2
20301,2
20302,2
20303,2
20304,2
20305,1
20306,1
20307,1
20308,1
20309,3
20310,2
20311,3
20312,2
20313,2
20314,1
20315,1
20316,1
20317,3
20318,1
20319,2
20320,2
20321,2
20322,2
20323,2
20324,1
20325,1
20326,2
20327,2
20328,1
20329,4
20330,2
20331,1
20332,1
20333,1
20334,2
20337,3
20338,3
20339,2
20340,4
20341,1
20342,2
20343,1
20344,2
20345,2
20346,2
20347,2
20348,2
20349,1
20350,1
20351,2
20352,2
20355,2
20356,2
20357,2
20358,1
20359,2
20360,1
20361,3
20363,2
20364,1
20365,2
20366,1
20367,2
20368,2
20369,1
20370,2
20371,2
20372,2
20373,1
20374,1
20375,4
20376,2
20378,1
20379,3
20380,1
20381,3
20382,1
20384,2
20385,1
20386,1
20387,1
20388,1
20389,1
20390,1
20391,1
20392,3
20393,2
20394,2
20395,2
20396,2
20397,2
20398,1
20399,3
20400,3